id,prompt,response
1863,Explain how to replace numbers in a list with their square roots.,Use `[math.sqrt(n) for n in lst]`.
1864,Explain how to replace all non-vowel letters in a string with dashes.,Replace consonants with dash using a loop.
1865,Explain how to sort a list of integers as strings by their length.,Sort with `key=len` on `str(n)`.
1866,Explain how to determine if a word has alternating cases.,Loop and check case alternation at each index.
1867,Explain how to reverse a string using a for loop.,"Loop backward, append to new string."
1868,Explain how to check if all characters in a list are lowercase.,Use `all(c.islower() for c in lst)`.
1869,Explain how to count the number of capital letters in a string.,Use `sum(1 for c in s if c.isupper())`.
1870,Explain how to extract only the numbers that are multiples of 3 from a list.,Use `[n for n in lst if n % 3 == 0]`.
1871,Explain how to format each word in a sentence to start with a capital and end with a period.,"Capitalize first letter, add period using list comp."
1872,Explain how to check if the sum of two digits equals the third in a 3-digit number.,"Extract digits, check `a + b == c`."
1873,Explain how to return the sum of digits in a number using recursion.,Base case `n == 0`; else `n % 10 + recurse(n // 10)`.
1874,Explain how to check if a string contains any repeated characters.,Use `len(set(s)) != len(s)`.
1875,Explain how to extract a list of words that start and end with a vowel.,Filter with condition `w[0] in vowels and w[-1] in vowels`.
1876,Explain how to format a date string into DD-MM-YYYY format.,Use slicing and f-string: `f'{d[0:2]}-{d[2:4]}-{d[4:]}'`.
1877,Explain how to count the number of alphabetic characters in a string.,Count letters with `sum(c.isalpha() for c in s)`.
1878,Explain how to detect whether a list contains nested lists.,"Check `any(isinstance(i, list) for i in lst)`."
1879,Explain how to check if a character appears at the same index in two strings.,Loop over zipped strings and check index match.
1880,Explain how to return the number of unique characters in a word.,Use `len(set(word))`.
1881,Explain how to extract the first letter of each word in a sentence.,Use `[w[0] for w in sentence.split()]`.
1882,Explain how to check if a list of numbers is sorted.,Compare list with `sorted(lst)`.
1883,Explain how to convert a list of integers into a string of digits.,Use `''.join(str(i) for i in lst)`.
1884,Explain how to group words that share the same ending letter.,Group in dict by last character.
1885,Explain how to determine if a list has duplicate numbers.,Compare length of list and `set(lst)`.
1886,Explain how to reverse a dictionary’s keys and values.,"Use `{v: k for k, v in d.items()}`."
1887,Explain how to round all numbers in a list to the nearest 10.,"Use `[round(n, -1) for n in lst]`."
1888,Explain how to return all the letters in a string that are in even positions.,Use slicing: `s[1::2]`.
1889,Explain how to create a list of strings of length 5 from a longer list.,Use `[w for w in lst if len(w) == 5]`.
1890,Explain how to count how many words in a list start with 'th'.,Use `sum(w.startswith('th') for w in lst)`.
1891,Explain how to extract all characters from a string that are not letters.,Filter with `not c.isalpha()`.
1892,Explain how to replace all uppercase letters in a word with lowercase except the first.,"Capitalize first letter, lowercase rest: `w[0].upper() + w[1:].lower()`."
1893,Explain how to create a function that returns the number of lines in a string.,Use `s.count('\\n') + 1`.
1894,Explain how to detect if a sentence contains only unique words.,"Split, check `len(set(words)) == len(words)`."
1895,Explain how to format an integer to show as binary with leading zeroes.,"Use `format(n, '08b')`."
1896,Explain how to find the second digit from the right in a number.,Use `(n // 10) % 10`.
1897,Explain how to test if a list of strings contains any duplicates.,Check `len(set(lst)) != len(lst)`.
1898,Explain how to extract all two-digit numbers from a string.,"Use regex: `re.findall(r'\\b\\d{2}\\b', s)`."
1899,Explain how to build a new list with every other item in reverse.,Use `lst[::-2]`.
1900,Explain how to return a list of string lengths sorted in descending order.,"Use `sorted([len(s) for s in lst], reverse=True)`."
